Tarih;Hipodrom;Kosu_No;Sira;At;Puan;Jokey;Ganyan;AGF;Tahmin_Tipi
07.05.2026;Ankara;1;9;UĞURLU BEBEK;45.8;MAHS.TURAN;3.3;%22;1. Tahmin
07.05.2026;Ankara;1;11;YAYLA ÇİÇEĞİ;42.0;MÜS.ÇELİK;4.4;%18;2. Tahmin
07.05.2026;Ankara;1;4;KATI;40.8;ER.CANKILIÇ;5.65;%10;3. Tahmin
07.05.2026;Ankara;2;3;BROTHER LOVIE;51.5;M.S.ÇELİK;6.55;%28;1. Tahmin
07.05.2026;Ankara;2;2;ABİDİN BEY;45.1;A.KURŞUN;3.45;%12;2. Tahmin
07.05.2026;Ankara;2;6;ACTION WONDER;43.9;ER.CANKILIÇ;5.35;%23;3. Tahmin
07.05.2026;Ankara;3;3;MISFIT;59.3;A.ÇELİK;7.0;%37;1. Tahmin
07.05.2026;Ankara;3;2;BIBURY;46.5;ER.CANKILIÇ;8.0;%10;2. Tahmin
07.05.2026;Ankara;3;9;ÇEVİK VAKTİ;39.6;H.ÇİZİK;6.45;%9;3. Tahmin
07.05.2026;Ankara;4;6;DENİZ TUTKUSU;43.8;M.KAYA;4.1;%27;1. Tahmin
07.05.2026;Ankara;4;8;GONDAR;42.3;A.ÇELİK;9.85;%27;2. Tahmin
07.05.2026;Ankara;4;4;MÜHÜR TAŞI;34.5;SAL.ÇELİK;3.4;%4;3. Tahmin
07.05.2026;Ankara;5;2;YAKARİ;53.9;MÜS.ÇELİK;1.9;%41;1. Tahmin
07.05.2026;Ankara;5;5;NINE TREES;41.1;M.S.ÇELİK;3.15;%11;2. Tahmin
07.05.2026;Ankara;5;1;THE HOCUS;38.6;A.KURŞUN;3.95;%12;3. Tahmin
07.05.2026;Ankara;6;3;DRAGON;55.6;A.KURŞUN;1.05;%52;1. Tahmin
07.05.2026;Ankara;6;4;RIDE THE LIGHTNING;39.7;M.KAYA;2.85;%29;2. Tahmin
07.05.2026;Ankara;6;1;KALKÜTA;31.2;A.ÇELİK;7.6;%12;3. Tahmin
07.05.2026;Ankara;7;12;TANKIZI;45.7;M.S.ÇELİK;8.25;%45;1. Tahmin
07.05.2026;Ankara;7;7;HARDAL ÇİÇEĞİM;39.7;İSM.YILDIRIM;1.75;%1;2. Tahmin
07.05.2026;Ankara;7;6;EKSEN;34.5;SAL.ÇELİK;5.9;%14;3. Tahmin
07.05.2026;Ankara;8;12;BURÇİGİN;39.3;M.A.SOLMAZ;1.05;%7;1. Tahmin
07.05.2026;Ankara;8;3;PİRNUR;37.6;H.ÇİZİK;8.7;%23;2. Tahmin
07.05.2026;Ankara;8;2;ŞUKELA;37.0;A.ÇELİK;19.75;%20;3. Tahmin
07.05.2026;İzmir;1;4;TABİP;50.7;A.MEH.ALTIN;2.35;%19;1. Tahmin
07.05.2026;İzmir;1;5;VARLIK EFESİ;42.2;M.M.BİLGİN;22.6;%32;2. Tahmin
07.05.2026;İzmir;1;6;DEMİR NİHAT;38.5;K.TOKAÇOĞLU;3.9;%11;3. Tahmin
07.05.2026;İzmir;2;2;KAPTANPAŞALI;47.8;R.KETME;1.05;%68;1. Tahmin
07.05.2026;İzmir;2;3;KURUŞUN GÜCÜ;28.6;K.YILMAZ;39.65;%5;2. Tahmin
07.05.2026;İzmir;2;5;KÜLÜNÇ AĞASI;27.8;A.MEH.ALTIN;79.35;%2;3. Tahmin
07.05.2026;İzmir;3;9;RÜZGARIN SESİ;39.4;M.M.BİLGİN;17.0;%20;1. Tahmin
07.05.2026;İzmir;3;6;BURNING HEART;37.4;N.AVCİ;6.25;%12;2. Tahmin
07.05.2026;İzmir;3;3;MADAM ANAHİT;37.2;A.MEH.ALTIN;15.1;%13;3. Tahmin
07.05.2026;İzmir;4;3;AYSERA HATUN;42.6;N.AVCİ;4.1;%11;1. Tahmin
07.05.2026;İzmir;4;10;VAHŞİ KRALİÇE;42.5;M.ÇİÇEK;3.2;%7;2. Tahmin
07.05.2026;İzmir;4;1;ALTIN;41.7;A.MEH.ALTIN;9.65;%20;3. Tahmin
07.05.2026;İzmir;5;9;LETS LOVE;42.9;N.AVCİ;15.05;%22;1. Tahmin
07.05.2026;İzmir;5;2;CANENCAN;39.9;A.MEH.ALTIN;7.5;%13;2. Tahmin
07.05.2026;İzmir;5;8;KING ÇAĞDAŞ;36.5;Ö.F.ÖZEN;1.1;%5;3. Tahmin
07.05.2026;İzmir;6;1;QUEEN SEV;55.5;R.KETME;2.95;%36;1. Tahmin
07.05.2026;İzmir;6;3;TIZ A BELLA;50.6;Ö.F.ÖZEN;7.4;%31;2. Tahmin
07.05.2026;İzmir;6;4;WAR STORM;39.6;M.ÇİÇEK;4.9;%15;3. Tahmin
07.05.2026;İzmir;7;1;JUNIOR BAŞKAN;49.3;Ö.F.ÖZEN;6.75;%37;1. Tahmin
07.05.2026;İzmir;7;5;MUCHACHO;41.1;B.M.MIRIK;1.65;%13;2. Tahmin
07.05.2026;İzmir;7;6;RED STORM;38.3;K.YILMAZ;13.95;%22;3. Tahmin
07.05.2026;İzmir;8;1;ERGİDEN;43.6;Ö.F.ÖZEN;12.5;%57;1. Tahmin
07.05.2026;İzmir;8;9;FAHRİ BABA;39.3;GÖKH.GÖKÇE;1.05;%3;2. Tahmin
07.05.2026;İzmir;8;13;BABA KUNTER;32.6;N.AVCİ;12.3;%5;3. Tahmin
